Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Cade Cunningham,Oklahoma State,2021,1,27,26,35.4,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4,2.5,20.1,9.78,21.6,0.574,0.515,0.388,0.39,518,2.3,16.3,9.6,20.4,2.5,2.3,18.7,29.1,2.3,1.7,4,0.166,5.1,3.2,8.3
Jalen Green,Ignite,2021,2,15,15,32,6.3,13.6,0.46,4.2,7.9,0.529,2.1,5.7,0.365,1.9,2.3,0.829,0.5,3.5,4.1,2.8,1.5,0.3,2.7,1.7,17.9,10,15.3,0.613,0.537,0.417,0.172,,1.9,11.6,6.9,13.5,2.3,0.8,15.4,23.4,0,0.5,0.4,0.044,,,
Evan Mobley,USC,2021,3,33,33,33.9,6,10.3,0.578,5.6,9.1,0.615,0.4,1.2,0.3,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,10.65,29.1,0.624,0.595,0.117,0.566,532,9.6,18.9,14.5,14.1,1.4,8.8,14.6,22.8,4.3,2.6,6.9,0.248,7.9,5.8,13.7
Jalen Suggs,Gonzaga,2021,4,30,30,28.9,5.2,10.3,0.503,4,6.8,0.588,1.2,3.5,0.337,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,5.92,22.6,0.595,0.56,0.338,0.37,454,2.7,18,11,23.7,3.5,1.1,19.5,24.8,2.5,2.1,4.6,0.21,4.8,4.6,9.4
Jonathan Kuminga,Ignite,2021,5,13,13,32.8,5.5,14.3,0.387,4.3,9.3,0.463,1.2,5,0.246,2.3,3.7,0.625,1.2,6,7.2,2.7,1,0.8,2.6,2.1,15.8,10,11.5,0.497,0.43,0.349,0.25,,4,19.2,11.9,12.2,1.5,2.4,14.1,24.5,-0.7,0.5,-0.3,-0.03,,,
Scottie Barnes,Florida State,2021,6,24,7,24.8,4.1,8.1,0.503,3.6,6.5,0.561,0.5,1.7,0.275,1.7,2.8,0.621,1.5,2.5,4,4.1,1.5,0.5,2.5,2.2,10.3,9.16,21.4,0.548,0.531,0.205,0.338,283,7.4,11.1,9.3,31.6,3.4,2.1,20.7,23.7,1.5,1,2.4,0.164,4.3,3.6,7.9
Davion Mitchell,Baylor,2021,7,30,30,33,5.3,10.3,0.511,3.2,5.6,0.565,2.1,4.7,0.447,1.4,2.1,0.641,0.5,2.2,2.7,5.5,1.9,0.4,2.4,2.4,14,7.4,21.8,0.619,0.613,0.456,0.207,442,1.7,8,4.8,27.7,3.3,1.2,17.7,20.3,3.5,1.9,5.3,0.215,6.4,3.7,10.1
James Bouknight,Uconn,2021,8,15,14,31.7,6.5,14.6,0.447,5.1,9.6,0.528,1.5,5,0.293,4.2,5.4,0.778,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9,18.7,8.59,23.2,0.546,0.498,0.342,0.37,253,5.3,15.1,10.1,12.8,2.2,0.9,14,31.6,1.3,0.8,2.1,0.179,6.1,2.5,8.6
Keon Johnson,Tennessee,2021,9,27,17,25.5,4.1,9.1,0.449,3.6,7.4,0.492,0.5,1.8,0.271,2.6,3.7,0.703,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,8.46,16.3,0.519,0.476,0.194,0.409,302,4.8,11,7.9,20.7,2.5,2,19.4,26.8,0.7,1.4,2.1,0.124,1,3.1,4.1
Franz Wagner,Michigan,2021,10,28,28,31.7,4.4,9.3,0.477,3.2,5.6,0.563,1.3,3.6,0.343,2.4,2.8,0.835,0.7,5.8,6.5,3,1.3,1,1.3,2.2,12.5,11.25,22,0.587,0.544,0.392,0.304,345,2.9,19.6,12.1,17.4,2.3,3.2,10.8,19.7,2.7,2,4.7,0.21,5.8,6.1,11.9
Moses Moody,Arkansas,2021,11,32,32,33.8,5.2,12.1,0.427,3.3,7,0.478,1.8,5.1,0.358,4.7,5.8,0.812,2,3.8,5.8,1.6,1,0.7,1.6,2.3,16.8,7.18,20.4,0.568,0.503,0.42,0.482,511,6.3,11.8,9,8.2,1.6,2,9.9,22.3,3.4,1.8,5.2,0.193,5.2,2.3,7.4
Jalen Johnson,Duke,2021,12,13,8,21.4,4.4,8.4,0.523,3.8,7,0.538,0.6,1.4,0.444,1.8,2.9,0.632,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,8.33,25.7,0.575,0.56,0.165,0.349,143,8.3,25.2,16.6,20.5,3.1,6,20.6,28.6,0.6,0.5,1.1,0.162,4.3,4.2,8.5
Corey Kispert,Gonzaga,2021,13,32,32,31.8,6.5,12.3,0.529,3.7,5.9,0.628,2.8,6.5,0.44,2.7,3.1,0.878,0.9,4,5,1.8,0.9,0.4,1.3,1.7,18.6,5.92,25.3,0.674,0.644,0.524,0.248,518,3.8,13.9,9.3,9,1.5,1.4,8.7,22.7,4.6,1.8,6.4,0.251,9.1,2,11.1